Date,Price
01/06/2021,1.797
02/06/2021,1.823
03/06/2021,1.818
04/06/2021,1.828
07/06/2021,1.829
08/06/2021,1.854
09/06/2021,1.819
10/06/2021,1.841
11/06/2021,1.822
14/06/2021,1.847
15/06/2021,1.855
16/06/2021,1.834
17/06/2021,1.826
18/06/2021,1.863
21/06/2021,1.899
22/06/2021,1.933
23/06/2021,1.939
24/06/2021,1.903
25/06/2021,1.882
28/06/2021,1.876
29/06/2021,1.884
30/06/2021,1.883
