Date,Price
01/06/2021,67.8
02/06/2021,68.79
03/06/2021,68.81
04/06/2021,69.57
07/06/2021,69.21
08/06/2021,70.11
09/06/2021,69.9
10/06/2021,70.34
11/06/2021,71
14/06/2021,70.94
15/06/2021,72.06
16/06/2021,72.03
17/06/2021,71.06
18/06/2021,71.64
21/06/2021,73.64
22/06/2021,73.15
23/06/2021,73.11
24/06/2021,73.31
25/06/2021,74.21
28/06/2021,72.98
29/06/2021,73.14
30/06/2021,73.52
