Date,Price
2020-03-03,1.43
2020-03-04,1.438
2020-03-05,1.379
2020-03-06,1.275
2020-03-09,1.039
2020-03-10,1.112
2020-03-11,1.057
2020-03-12,0.945
2020-03-13,0.977
2020-03-16,0.836
2020-03-17,0.838
2020-03-18,0.724
2020-03-19,0.777
2020-03-20,0.716
2020-03-23,0.697
2020-03-24,0.687
2020-03-25,0.692
2020-03-26,0.728
2020-03-27,0.766
2020-03-30,0.725
2020-03-31,0.697
2020-04-01,0.65
2020-04-02,0.705
2020-04-03,0.808
2020-04-06,0.765
2020-04-07,0.729
2020-04-08,0.731
2020-04-09,0.69
2020-04-13,0.707
2020-04-14,0.662
2020-04-15,0.625
2020-04-16,0.653
2020-04-17,0.667
2020-04-20,0.6
2020-04-21,0.453
2020-04-22,0.507
2020-04-23,0.497
2020-04-24,0.453
2020-04-27,0.407
2020-04-28,0.416
2020-04-29,0.485
2020-04-30,0.517
2020-05-01,0.48
2020-05-04,0.503
2020-05-05,0.574
2020-05-06,0.504
2020-05-07,0.518
2020-05-08,0.579
2020-05-11,0.555
2020-05-12,0.629
2020-05-13,0.637
2020-05-14,0.703
2020-05-15,0.725
2020-05-18,0.822
2020-05-19,0.773
2020-05-20,0.824
2020-05-21,0.823
2020-05-22,0.813
2020-05-26,0.813
2020-05-27,0.786
2020-05-28,0.8
2020-05-29,0.856
2020-06-01,0.856
2020-06-02,0.913
2020-06-03,0.878
2020-06-04,0.896
2020-06-05,0.962
2020-06-08,0.938
2020-06-09,0.97
2020-06-10,0.981
2020-06-11,0.921
2020-06-12,0.964
2020-06-15,1.001
2020-06-16,1.049
2020-06-17,1.039
2020-06-18,1.059
2020-06-19,1.063
2020-06-22,1.08
2020-06-23,1.05
2020-06-24,1.001
2020-06-25,1.007
2020-06-26,0.971
2020-06-29,1.006
2020-06-30,1.02
2020-07-01,1.025
2020-07-02,1.04
2020-07-06,1.072
2020-07-07,1.063
2020-07-08,1.067
2020-07-09,1.071
2020-07-10,1.091
2020-07-13,1.066
2020-07-14,1.073
2020-07-15,1.101
2020-07-16,1.068
2020-07-17,1.061
2020-07-20,1.077
2020-07-21,1.119
2020-07-22,1.114
2020-07-23,1.11
2020-07-24,1.112
2020-07-27,1.134
2020-07-28,1.101
2020-07-29,1.117
2020-07-30,1.083
2020-07-31,1.087
2020-08-03,1.095
2020-08-04,1.111
2020-08-05,1.127
2020-08-06,1.127
2020-08-07,1.094
2020-08-10,1.115
2020-08-11,1.122
2020-08-12,1.119
2020-08-13,1.097
2020-08-14,1.097
2020-08-17,1.108
2020-08-18,1.123
2020-08-19,1.094
2020-08-20,1.107
2020-08-21,1.076
2020-08-24,1.11
2020-08-25,1.149
2020-08-26,1.16
2020-08-27,1.105
2020-08-28,1.117
2020-08-31,1.104
2020-09-01,1.104
2020-09-02,1.071
2020-09-03,1.049
2020-09-04,1.041
2020-09-08,0.978
2020-09-09,1.005
2020-09-10,0.959
2020-09-11,0.994
2020-09-14,0.988
2020-09-15,0.991
2020-09-16,1.004
2020-09-17,1.041
2020-09-18,1.031
2020-09-21,0.986
2020-09-22,0.956
2020-09-23,0.953
2020-09-24,0.981
2020-09-25,0.99
2020-09-28,1.005
2020-09-29,0.968
2020-09-30,1.038
2020-10-01,1.003
2020-10-02,0.96
2020-10-05,1.028
2020-10-06,1.067
2020-10-07,1.058
2020-10-08,1.087
2020-10-09,1.095
2020-10-12,1.062
2020-10-13,1.064
2020-10-14,1.092
2020-10-15,1.088
2020-10-16,1.076
2020-10-19,1.077
2020-10-20,1.082
2020-10-21,1.038
2020-10-22,1.054
2020-10-23,1.049
2020-10-26,1.024
2020-10-27,1.054
2020-10-28,1.009
2020-10-29,0.986
2020-10-30,0.987
2020-11-02,1.016
2020-11-03,1.037
2020-11-04,1.07
2020-11-05,1.074
2020-11-06,1.053
2020-11-09,1.123
2020-11-10,1.154
2020-11-11,1.145
2020-11-12,1.126
2020-11-13,1.103
2020-11-16,1.107
2020-11-17,1.106
2020-11-18,1.132
2020-11-19,1.151
2020-11-20,1.185
2020-11-23,1.189
2020-11-24,1.246
2020-11-25,1.264
2020-11-30,1.239
2020-12-01,1.231
2020-12-02,1.251
2020-12-03,1.295
2020-12-04,1.282
2020-12-07,1.286
2020-12-08,1.295
